CREATE TABLE bintest (p postcode, d dps);
\copy bintest FROM '/home/dave/dev/postcode/data/binary.data' WITH BINARY;
SELECT * FROM bintest;
    p     | d  
 BD10 9JJ | 2P
 NR7 0WG  | 4L
 SY2 5XR  | 2L
 DN15 9RF | 9R
 GU34 4LN | 3N
 NE10 0DF | 7H
 HD9 7YR  | 7F
 BS5 6TR  | 2D
 SM3 9DT  | 8S
 CT2 9AE  | 9U
 BS15 4XQ | 2U
 FK10 2US | 7P
 PO19 3RR | 9W
 WN1 1EZ  | 4J
 DD10 8BL | 2R
 MK43 9LT | 8A
 PE11 9FA | 9X
 PE30 5ER | 4J
 WA4 6DG  | 6R
 TQ12 1WB | 7H
 W6 7BY   | 6Q
 OL7 9PL  | 2W
 BT71 7RN | 6E
 NW8 0HY  | 8T
 HA4 0BB  | 7Y
 SS7 3NB  | 1R
 KT22 7HZ | 2S
 GL53 8NB | 6Z
 M45 9AL  | 1W
 SP7 0EN  | 9W
 YO62 6HA | 7D
 PR2 8AN  | 2Z
 L8 5TW   | 5P
 PR2 3LL  | 8H
 BA3 3YA  | 8G
 DE12 8BJ | 2G
 EX17 6HW | 3N
 SO53 4DN | 4L
 GU18 5UW | 7D
 ST3 3NJ  | 8S
 BT78 4AE | 5L
 BB2 9BJ  | 9U
 S36 4GS  | 4Z
 TF2 6NF  | 3Q
 L31 5NW  | 4W
 PA3 2LZ  | 2A
 DE55 6LA | 5G
 CB5 8FS  | 2Y
 HP27 0AW | 7X
 PH2 1DB  | 9S
 HU3 2DX  | 5U
 JE3 8GT  | 6R
 RG2 8JW  | 8X
 LA9 4HR  | 1A
 BA1 5ES  | 5S
 BT79 7TJ | 4U
 NN18 0HB | 8J
 PL30 5BE | 1Z
 EX32 0LR | 6A
 L8 1XN   | 1F
 BT23 7PD | 1Z
 KT2 7WG  | 8G
 CR6 9ZP  | 6Z
 NR33 7JR | 2R
 BT1 1AP  | 9L
 OL10 1BW | 4J
 SS16 5TT | 6J
 MK42 8HT | 4L
 CF83 9BX | 4J
 CT10 1NB | 9E
 BS40 6NB | 6G
 B61 0PP  | 8U
 LL13 8DY | 3D
 MK15 9AW | 5Q
 AB21 0WN | 8F
 GU13 9QT | 1T
 BA3 5QW  | 6A
 L35 0LT  | 5Y
 AB56 5BH | 9T
 E1 6LX   | 3Z
 SG17 5HZ | 3F
 TW12 1BQ | 5U
 PO4 9RP  | 9A
 WD2 3TZ  | 6U
 N22 6NL  | 8G
 NG12 2HS | 8Q
 LU1 5JE  | 2N
 PE9 1UG  | 6E
 CH42 8LB | 2Q
 DH2 3AF  | 6L
 W1J 5JU  | 5N
 NN16 9NA | 4G
 DT8 3HF  | 6F
 HD5 8WY  | 1F
 BT34 3UU | 9N
 L18 8DT  | 8E
 WC1B 5BH | 5A
 CO4 0NB  | 8E
 IG1 9JB  | 2H
 SN12 8ES | 7T
 KA3 4EE  | 1X
 BN2 1JB  | 8D
 W1F 7NU  | 1A
 M7 3QH   | 3J
 TN19 7NY | 9Q
 M43 7WX  | 3S
 TS26 0HU | 3W
 BN10 8BX | 4Y
 TN15 7NW | 1Y
 KA3 5JY  | 7G
 CH63 0PU | 2T
 GU27 9AF | 4L
 NG18 3HG | 6L
 W3 8HY   | 5E
 BR1 4PD  | 4A
 W1U 1PD  | 9F
 WV6 6EH  | 5Z
 BS22 9UG | 7D
 WF16 9AL | 9L
 RG24 9GL | 7H
 S20 4TN  | 8N
 RG1 7PE  | 8N
 OX9 5JY  | 1D
 EC3M 7HR | 1Z
 W4 1QG   | 5G
 DY3 1UU  | 3E
 G2 9BN   | 2U
 SN8 1UF  | 5E
 RH13 6TD | 4N
 CH8 9HU  | 1Y
 HA8 9PL  | 9T
 TN24 0FZ | 3J
 L30 7QL  | 1D
 PO5 3EW  | 5Z
 DA5 1LD  | 4Z
 WD17 4YP | 9L
 WC1H 9QS | 5T
 WA5 1SY  | 1T
 M27 9XT  | 2S
 YO24 4PL | 7L
 DN11 0YL | 2S
 AB12 3LD | 9Y
 EH40 3BA | 8Q
 BT23 5JS | 2G
 ML5 4UX  | 1X
 HP1 2TJ  | 2Q
 HR1 1TH  | 6D
 NR10 5BX | 7D
 NW7 2GB  | 6Z
 L4 2SU   | 6B
 BT42 4JN | 3G
 EX32 8XN | 8Z
 NP16 6QU | 6J
 NG11 1DJ | 3Y
 OX4 7XN  | 1P
 S43 3PH  | 1Q
 S1 4DF   | 8Y
 M90 1AH  | 8Y
 SW7 4XU  | 5H
 TN16 2AD | 7P
 NG17 4GF | 5W
 PO16 0TH | 3F
 S71 3YQ  | 7T
 EX20 4EN | 9Z
 NP22 3QZ | 2G
 BT93 1HN | 9L
 IG1 2TW  | 5L
 G32 8YP  | 1A
 MK45 5EF | 7D
 SP10 9GQ | 5R
 PR8 9LF  | 5B
 S6 6YL   | 5Q
 EH7 5XA  | 6S
 BN50 9QR | 7Z
 EN77 1SZ | 3W
 DL9 4EQ  | 9F
 BT63 5GW | 3X
 OL16 4BL | 6T
 HA2 6RF  | 9P
 G66 7HN  | 7E
 G52 4XJ  | 7J
 DN39 6YZ | 2U
 PR5 6FD  | 8H
 CA11 7QY | 6Q
 EH13 9LJ | 8R
 PO5 1JN  | 4J
 NR9 4QD  | 6W
 SK4 3DE  | 7D
 N17 6YP  | 4F
 SN15 1QU | 9B
 WD17 2FF | 7Q
 PO1 2HG  | 4W
 BS2 8NH  | 4R
 HG2 0NU  | 2Z
 WA16 8AH | 2N
 WS12 5FD | 1H
 DL4 1JY  | 2Z
 YO32 5TS | 3G
 LE11 4TB | 6B
 CV10 9NB | 4G
 SN4 0AS  | 5W
 RG10 8AX | 6A
 W1H 4JJ  | 2B
 SN12 6QD | 7U
 CO4 3RS  | 3J
 NE6 5BF  | 8P
 FY8 1FX  | 2T
 CV37 7QQ | 3Z
 LL14 4LL | 3D
 M26 4FD  | 7L
 LL20 7DF | 5G
 DN14 9PJ | 5S
 HP27 9ZN | 4P
 PO2 9RS  | 8N
 DA1 4ER  | 7E
 AB55 6LH | 8H
 L15 9EY  | 1L
 HU12 0JE | 4Q
 BN17 7QY | 3Z
 WR2 6RR  | 8B
 M27 5TS  | 8H
 S64 8JX  | 7Y
 CO13 9EN | 2S
 IM8 1BJ  | 7P
 YO31 0YT | 6B
 SR1 3HW  | 1P
 TS4 2HS  | 8F
 SA40 9XT | 4Q
 SW19 9FF | 7T
 CM23 3UY | 7D
 DL5 4BH  | 3Z
 WD1 3LH  | 5E
 LL21 1AH | 4H
 TA6 3SP  | 2W
 GU17 0DB | 8S
 BT74 6BT | 2X
 RH5 6ED  | 1F
 TN39 3UP | 8Q
 WD18 1DA | 6L
 BS11 0DE | 9T
 GU1 2XT  | 8A
 TR14 9EG | 2U
 PE11 9AT | 6Z
 NE61 2YL | 2Q
 BS10 5BH | 1A
 CA19 1TE | 1F
 LU7 9BQ  | 2T
 KA11 3DA | 9B
 WS15 3SD | 8E
 BS48 2AZ | 1P
 BT38 9SP | 5J
 SN5 5PG  | 1G
 BS31 1FG | 3J
 FY8 9SU  | 6P
 TA4 4AA  | 4S
 NW1 1WP  | 5T
 KT5 9BS  | 6E
 LN11 1TQ | 7W
 OX11 6AY | 4B
 SS9 1DE  | 9X
 WN8 7RB  | 1Y
 SS5 4BQ  | 3R
 ST18 0NG | 7J
 CM22 7DY | 6U
 DE4 5FP  | 3Y
 EC4Y 7DL | 6L
 NG18 3DJ | 2U
 OX16 5QB | 1G
 LS9 7AG  | 9E
 HU10 6LS | 4F
 EX9 7DY  | 6X
 DT11 1SR | 9Y
 BT23 4YB | 7B
 LL29 8SP | 9T
 BT78 4PZ | 6N
 DL8 5PT  | 7J
 BT45 5HL | 8E
 TQ5 8LP  | 3P
 LA1 3BY  | 5N
 KY7 4QW  | 9T
 DL11 7TA | 8S
 SK15 2FD | 6H
 DH3 9AF  | 4P
 LL11 6UB | 8T
 L5 8SS   | 1N
 EH54 6ZJ | 6Y
 SY2 5LG  | 8U
 B20 2WF  | 7Y
 M43 6HN  | 2F
 IP30 9PQ | 1L
 BB8 8NH  | 8X
 NR32 2AB | 3S
 BN9 9GG  | 4G
 DN35 7SP | 3W
 LN2 5RH  | 5R
 CV34 4LW | 3S
 IM4 1HQ  | 2E
 HA0 1WF  | 8W
 SG2 0JL  | 5X
 NG13 9JA | 9B
 BH6 3AN  | 7D
 BH20 7LG | 2J
 WR11 6HT | 4T
 PH33 7PP | 9E
 TR13 0AW | 6G
 DN40 1DX | 3U
 PR5 2EF  | 3X
 BT55 7EY | 9R
 WD2 3SE  | 3N
 DE23 6AN | 9H
 CB9 0HP  | 5Y
 PE9 3SR  | 8T
 IM1 2PG  | 6Y
 EN8 7RP  | 9Q
 LN2 3RZ  | 3H
 TA1 1RZ  | 5F
 NW2 7EL  | 1W
 LE4 3JY  | 1E
 L19 6PL  | 7A
 KT17 1LP | 5F
 M40 9LQ  | 5J
 TR27 5XQ | 5E
 ME10 5LA | 4E
 B77 4DN  | 5X
 BB11 2JL | 9Y
 ST5 0NG  | 9Z
 BD17 7WG | 4G
 W9 3HL   | 5S
 CO8 5AR  | 8W
 IP32 7DJ | 7Y
 OX1 5NW  | 2L
 SO15 3UQ | 3P
 WA2 7EG  | 5W
 IP8 3UJ  | 8E
 CF39 0NN | 5R
 SA62 3NF | 5S
 LS2 9DA  | 3B
 CW8 3BQ  | 2B
 EH33 1RY | 6Q
 WC2H 9PT | 1B
 S40 1PL  | 2T
 SG5 1HJ  | 9N
 CM8 2NJ  | 4R
 UB8 9EQ  | 8A
 MK13 7UE | 6D
 KT3 4DQ  | 7A
 NG5 4EF  | 9A
 M35 9UZ  | 6U
 BS15 1AY | 6E
 PO9 9BP  | 8T
 S18 2XX  | 8A
 EC2M 3XD | 5S
 L37 2HP  | 5Z
 SK14 9DE | 1G
 IP11 9QU | 4U
 HR2 8AL  | 2Y
 DY7 6AQ  | 2B
 SO32 2NP | 7H
 SE24 0PZ | 5L
 YO32 5RU | 5U
 OX12 8PX | 6S
 BA14 6HB | 6N
 B66 1HJ  | 4D
 TS18 2HW | 3Z
 TW5 0YN  | 7X
 DG7 2NF  | 3G
 BS99 2GN | 6L
 DE72 3DS | 5N
 HP19 8JE | 5P
 NP8 1LH  | 5S
 IP8 3QH  | 7B
 CA14 1DR | 5X
 SS4 1RP  | 1Z
 G46 7QH  | 1D
 CF23 9NJ | 3Y
 BA7 7HR  | 8W
 BT40 1SH | 9R
 HP20 1RY | 5H
 YO11 1UU | 3F
 NG17 8PF | 6R
 DL2 3EN  | 6R
 B45 0HE  | 5X
 LA23 1NL | 5D
 ST16 3YQ | 3Y
 TR7 2FE  | 2L
 GL54 5TD | 5Z
 DE55 7AH | 4F
 CM15 9JP | 2B
 IP4 2HN  | 6L
 ML6 0AD  | 1J
 DE11 9WZ | 1R
 BB8 8EF  | 5F
 WA8 9UD  | 7Z
 CW5 7RQ  | 9U
 BA14 6BE | 9T
 TA5 2DU  | 9P
 BS35 1RP | 5D
 RH1 6NF  | 3X
 NN11 5TX | 3G
 NR1 1TG  | 7N
 N3 2UU   | 7T
 RG20 8HF | 1A
 HA0 1LJ  | 5Q
 EX4 3BL  | 9G
 LS25 5EW | 6Z
 WS1 4LD  | 8N
 PH15 2AF | 5L
 TR27 6HQ | 6H
 SA18 2LN | 8L
 WA7 2EJ  | 3D
 RG12 9XS | 4H
 KA21 6AH | 1D
 BD4 0JT  | 8H
 SW4 0HG  | 3X
 BN3 7GJ  | 5S
 TN13 9EE | 1A
 NN8 3PT  | 8Y
 TW7 7QX  | 5Y
 RM11 2DB | 8U
 CV3 2HD  | 8J
 HX3 5WN  | 4T
 EX8 5RQ  | 4E
 TF12 5HB | 1H
 SW7 1SE  | 5D
 LE15 0FT | 3Y
 BD2 3ER  | 5D
 MK44 3AF | 8W
 M21 7NW  | 2J
 BT6 8WZ  | 7D
 DL5 4ND  | 8H
 LL65 4ZT | 4D
 BT48 6JG | 8F
 IG3 9SA  | 3A
 DH8 9UW  | 7S
 S75 1EF  | 1X
 W4 3GX   | 3D
 CM1 7RX  | 3U
 CF63 4PS | 7D
 CB8 8DP  | 3J
 GY1 3QW  | 9Z
 LL18 1BU | 4Y
 LS23 7AL | 9J
 NG20 8BB | 8S
 M15 5JF  | 7F
 KA8 8BN  | 3Z
 UB9 6SR  | 5U
 B46 1WP  | 4S
 BN1 8AT  | 7S
 EC1A 1UW | 6A
 CH43 1TY | 5B
 M11 2WR  | 5P
 PR7 5LF  | 3F
 B11 1PP  | 4H
 RG40 9HG | 3G
 RM6 6PH  | 1P
 AL7 9JD  | 1Z
 CV2 1TY  | 5R
 DE75 7JE | 5E
 SE12 0BZ | 4D
 BS23 4LS | 6L
 CW9 5DB  | 9A
 AB24 2TJ | 9T
 PR8 3AA  | 9P
 KY5 0UX  | 1J
 B2 2US   | 8J
 CF37 3EY | 4L
 M46 9EN  | 2W
 BS23 4XF | 7H
 PL6 7PR  | 5U
 ML3 0QB  | 5A
 BT25 1YH | 7Q
 SO19 0JF | 9J
 RG40 9SY | 3T
 KY16 9DT | 2Z
 TQ5 8WX  | 8A
 BL2 1AY  | 9D
 TW15 9AN | 4A
 WA10 6EN | 5B
 LS28 9AJ | 3S
 HP11 2BL | 8P
 IG1 3JT  | 3R
 PL4 9BY  | 6A
 NP11 7PJ | 3P
 ME20 6HU | 7W
 OX3 0GA  | 7P
 OX7 6ED  | 5F
 BS36 2TA | 9U
 IM4 7DY  | 9U
 ML11 9SU | 4W
 BS2 0JP  | 4N
 SN11 8NE | 3Z
 NE47 6BJ | 2W
 DN5 7UX  | 5U
 SN16 0NS | 2D
 KA9 1TR  | 1J
 B11 2PN  | 8Z
 ST6 7PN  | 6E
 SL3 8UJ  | 5N
 SY23 3DQ | 9Q
 HR4 8QJ  | 6Q
 RG26 4LU | 2P
 BN9 0NZ  | 4F
 BS23 2DF | 1F
 NG13 8BQ | 7H
 CM3 6RW  | 6Y
 SS4 9AN  | 8Q
 EX15 2BW | 3W
 YO14 9PS | 6Y
 TS6 0PT  | 9Q
 SO45 5AA | 2B
 TS10 4AE | 1Q
 TD15 1NR | 6S
 SO50 9LT | 3J
 HD2 2HL  | 2G
 ZE1 0HR  | 8W
 G72 8RP  | 2G
 E17 5BF  | 8P
 WN1 1LR  | 7G
 IP25 6BY | 1E
 NG2 3HP  | 4Y
 LL13 0WU | 1J
 HP23 4AY | 1T
 KA30 8AB | 6W
 HR3 6EA  | 1Y
 UB7 9EB  | 5D
 RH12 3JF | 4N
 CV21 2QZ | 5L
 NR5 8RA  | 7H
 DT6 3YQ  | 5N
 M15 4JT  | 8Z
 WS11 3UR | 6P
 ME9 9PA  | 6L
 PE17 3LN | 4N
 OX44 7WB | 7Q
 YO42 1QE | 3L
 G82 9ZT  | 4E
 B92 9LD  | 7J
 PE4 6WN  | 2R
 PO18 9AT | 6G
 SE1 1RT  | 1X
 TA17 8SE | 2B
 RM17 5HY | 2Y
 B49 6NE  | 3H
 CM7 5EU  | 9X
 SW1W 0LJ | 5Y
 NE1 4BB  | 4Y
 PR4 5SX  | 7Y
 HA5 5UU  | 7P
 M22 1SA  | 7A
 M28 7XR  | 4F
 SO50 0HD | 8W
 PR2 8GS  | 2D
 IP22 1AL | 3X
 EH12 8NP | 7T
 WA7 5LA  | 8G
 TQ11 0JY | 9S
 ME11 5BX | 4P
 BT4 9BY  | 7L
 SP6 3PN  | 2J
 EH17 8AY | 4Z
 KY8 4RW  | 5Z
 AL5 3PL  | 1X
 SG17 9TX | 5G
 PO3 6NS  | 9T
 GL11 5WG | 2J
 LE65 2HL | 8X
 L14 7QS  | 3P
 LN9 5HT  | 1H
 BS22 7JH | 3L
 HA9 8WD  | 4U
 SN8 2JW  | 5G
 SE18 7LL | 2R
 DE6 1NN  | 7Y
 NN13 6NH | 5P
 SS4 9TB  | 2J
 B48 7PP  | 8L
 IV2 4PZ  | 9U
 W1G 7HD  | 5L
 NR6 7QW  | 2E
 AB30 1AB | 4E
 BS11 9RB | 2Z
 SS1 3WD  | 7R
 CH5 1BQ  | 2N
 W13 9ZG  | 9P
 HA7 3AT  | 9F
 CF63 4AU | 5A
 NG3 6LG  | 3G
 WA7 6FF  | 2X
 NN16 9PG | 4U
 RG27 8LH | 4U
 NG7 2WY  | 4Z
 TS19 0WD | 6Z
 SE2 9QU  | 3N
 OL12 7AN | 8W
 YO62 6DX | 4T
 MK6 2EG  | 5T
 M19 2TY  | 6F
 TQ2 6JF  | 8B
 HX3 6HJ  | 7Y
 SK7 4AH  | 4F
 DA11 0RR | 6X
 PE29 1PU | 1F
 BL1 5TH  | 3S
 B31 4NZ  | 1Z
 PE17 3FE | 2G
 DL17 8ET | 1E
 TN22 5JX | 9H
 NN8 4UA  | 8L
 LL19 0AP | 3F
 CH7 9YG  | 7Y
 DL12 0SY | 9B
 WN1 2RL  | 5P
 SA1 6WA  | 2U
 E10 7DZ  | 6E
 RH19 3HU | 5P
 HR4 8SH  | 9E
 GY6 8DF  | 8W
 E17 9PD  | 9N
 NW5 3QD  | 3P
 B32 3EQ  | 5E
 BB5 2LU  | 8B
 SW9 7JR  | 2S
 SY2 6LN  | 4R
 DA13 0XP | 9H
 WS10 9TB | 5J
 DL1 9ET  | 6N
 HR5 3BQ  | 9T
 W6 0YW   | 2L
 SG17 5LU | 9L
 PO5 3DW  | 9X
 NN13 7YP | 3E
 WC2H 9HE | 2B
 NG9 3GJ  | 4B
 L4 3TN   | 5Z
 M45 8AZ  | 1X
 LL77 9YA | 7N
 G4 9HG   | 4L
 BT39 9XY | 2W
 LN2 3JZ  | 1H
 ML3 7SX  | 7T
 LS11 6BF | 8Q
 RG19 3JB | 8P
 BL6 9BT  | 5U
 M32 0EG  | 9E
 ME9 7UA  | 3E
 BA5 3PH  | 6P
 TS9 7LD  | 2A
 LS9 0EW  | 4T
 AB53 4BP | 9W
 UB4 0PB  | 6F
 TS11 6BF | 8D
 BH18 8HW | 8T
 NW5 9DR  | 2N
 GU2 5YG  | 4T
 HX3 9JL  | 7Z
 SO41 0TR | 1Y
 SK6 7NJ  | 4Q
 M41 9DB  | 6A
 IG8 8NU  | 1U
 HP2 5HY  | 3D
 TW4 5RN  | 3B
 WF10 2QJ | 2N
 NG1 5NL  | 9E
 HP15 6HX | 4P
 WN8 8JZ  | 1J
 GY9 3NG  | 6P
 HA3 5UU  | 3T
 PH8 0AA  | 7T
 YO31 7UE | 4H
 NN3 6JW  | 7N
 BA3 4LX  | 8F
 SG6 4LL  | 1Q
 BT12 6EE | 4T
 AB21 9YS | 1Y
 PE19 4UD | 6D
 CM0 8EQ  | 9L
 TS14 6PP | 6D
 WA15 8TY | 1A
 WR2 4XN  | 6B
 NE64 6WY | 2J
 HP15 6UZ | 4S
 CF32 9EX | 2Z
 EH7 5UD  | 9S
 CV3 6AZ  | 6R
 HA1 1ED  | 3G
 L27 0WZ  | 5P
 M20 5SL  | 3A
 DG3 4EF  | 6E
 WC1E 6WU | 8P
 NE66 1PQ | 6A
 M24 6NW  | 9B
 BT17 0WX | 5B
 CR7 6BJ  | 1W
 EH7 4ZS  | 6T
 LL65 2DB | 2W
 SE27 9ZU | 1A
 PA19 1RX | 6T
 NR17 2NL | 9G
 IP31 1BB | 9L
 DY11 5EZ | 4T
 S2 4AB   | 4A
 CT19 5HY | 2N
 LE10 3LE | 1E
 CV35 8RD | 6X
 CT2 0LH  | 4T
 NW9 5EP  | 8L
 BA20 2BS | 9Q
 KT1 9HA  | 4P
 SY3 7RA  | 9G
 DL12 9HN | 9A
 NG19 8DZ | 8S
 LS21 9AL | 2B
 BL7 0FH  | 3Z
 SE4 2ZJ  | 1L
 WA2 8WP  | 9B
 W1F 0RJ  | 3F
 IP25 6GT | 6B
 GU9 0JZ  | 6J
 GL20 7WL | 6Z
 MK10 1NQ | 2R
 N1 9HQ   | 7S
 NG9 1FA  | 2E
 EN77 1AS | 5R
 SO41 1AP | 7Q
 S61 3RX  | 4N
 TS8 0TR  | 8G
 WN6 8EF  | 9P
 EX4 4EP  | 1T
 M33 7LD  | 3U
 WA15 7WX | 7J
 NG7 4DU  | 5A
 NR32 3AP | 9F
 AB15 8HT | 7T
 PE30 4SQ | 5W
 NG7 6HZ  | 7L
 CH45 7PW | 2J
 GL6 6YW  | 5X
 CW3 9HX  | 7Y
 B28 8SQ  | 7W
 LN5 9YR  | 7N
 DY5 2WR  | 6F
 BB5 2JF  | 5E
 LL21 0LP | 9J
 SO40 2WL | 7U
 HU15 1TR | 2G
 SL4 6PH  | 2X
 AB56 5SE | 8L
 RG30 4QH | 6B
 EH5 3BP  | 5Q
 B71 3NR  | 5H
 PO15 5RP | 3G
 IP17 2QS | 2H
 BN3 5SY  | 7Z
 CT11 0QX | 5Y
 W6 7XG   | 9U
 SK13 2EE | 2J
 NE29 0YW | 1H
 E10 5HG  | 3G
 CM11 1BH | 5Q
 DE73 5AZ | 4J
 BT28 3JN | 6U
 UB7 0ZS  | 6D
 TF7 5WW  | 9R
 LA5 0SN  | 1W
 LL13 7ND | 9A
 DT10 1BN | 4X
 HD7 1SP  | 5R
 BT43 6WE | 1Q
 HU9 9FN  | 3Y
 SG17 5TS | 1L
 IP3 9WZ  | 5E
 B97 6TB  | 8U
 BN3 3RF  | 4P
 SK22 4DA | 8F
 BT29 4GJ | 8P
 TN11 8RY | 8P
 PH33 7RA | 5T
 NR1 3ZJ  | 3H
 BB8 9EQ  | 3L
 SK6 1SG  | 6S
 NR29 3LJ | 9D
 SY13 2DP | 9J
 BR6 0LA  | 1T
 NW1W 8DQ | 8Q
 BB2 6LX  | 7W
 KA20 3JY | 8U
 SN8 1UW  | 5A
 M7 4QA   | 2Z
 SW15 4PX | 3L
 EX15 1FB | 1A
 WC2N 4WX | 9B
 WR4 9JT  | 6X
 HA6 2WY  | 6F
 NP23 4PE | 2L
 CB2 5QS  | 1S
 OX12 9RX | 1B
 YO23 1EU | 7J
 CV7 9JP  | 3B
 EH6 7PS  | 5X
 SW4 8AE  | 8F
 CF72 8BE | 4N
 ST8 7NX  | 8Q
 G67 9AA  | 1P
 TW15 3QR | 9W
 LL12 0DS | 4J
 YO16 6GB | 2X
 B13 9AF  | 6U
 BS36 2TT | 5Y
 AL5 4RW  | 5G
 G73 5EY  | 4R
 BT74 9BY | 8G
 SA3 5YP  | 8T
 BT22 1DD | 7E
 RM3 0FZ  | 5W
 W12 6XA  | 6Y
 SS15 5UY | 5U
 L39 5DT  | 8Z
 BH11 8TH | 4B
 DY7 5BW  | 6B
 RG25 2BH | 7Q
 L26 0UA  | 3H
 G2 9YB   | 3E
 WA13 0PF | 6S
 KT17 2ER | 1S
 SK14 4SQ | 1J
 CM21 0AL | 8Y
 NG13 8ZL | 8S
 GL2 0NL  | 4Q
 GL54 4YG | 7U
 TS1 2WX  | 3F
 WA4 5XE  | 9Q
 CB9 7GZ  | 6Y
 S61 1NQ  | 3X
 NR30 4AD | 5S
 WA4 6EN  | 5Q
 S2 9DE   | 2W
 AB11 6LD | 9H
 DL13 3RB | 7A
 G22 6AE  | 7Q
 CH7 6ST  | 9T
 G76 7LN  | 9T
 WV14 8XB | 1U
 KT22 7QF | 9A
 NG23 5DU | 8T
 NW6 6FS  | 2D
 N13 5HN  | 5F
 ST16 3SG | 1E
 PR8 5JQ  | 1B
 SA46 0WX | 3H
 FY8 4WB  | 9A
 TF1 9DF  | 9U
 RG21 7AN | 7E
 SW9 0PL  | 4U
 NG11 8AH | 3Y
 SN25 1PD | 7L
 TS5 4JG  | 6S
 EX31 1WX | 2E
 DE4 2TZ  | 5P
 NP20 5BW | 6L
 LS15 8RW | 6U
 PO6 4HY  | 9P
 SW8 4DT  | 5R
 ST11 9PP | 9Y
 LS10 3AR | 9A
 NE23 1PA | 4A
 B66 4AE  | 1S
 L13 0BB  | 6Z
 KA21 6GQ | 1D
 EX8 4QD  | 7H
 CV2 2WS  | 3A
 PA2 0UE  | 2D
 PH2 7NG  | 9Z
 WF3 4DB  | 2Q
 SO45 3YY | 4Z
 OX25 5TE | 8Z
 DE21 2SQ | 8R
 HG2 8XT  | 4L
 CT19 5UD | 5J
 EH21 6BB | 3D
 NG31 7PN | 5L
 S45 8AF  | 6Y
 IP31 1SN | 5Z
 SN15 4RT | 4A
 M14 7EJ  | 1P
 CT3 4HN  | 9D
 SE3 0SS  | 1P
 LL23 7UR | 1Q
 GL7 1LE  | 8G
 S81 9NH  | 8R
 BD13 1NB | 8P
 BA2 7XP  | 8A
 DL13 2LU | 4X
 CW1 9HR  | 7S
 NN9 6BH  | 8X
 AB31 5PA | 8N
 GU12 6QB | 3R
 EX32 7AW | 2T
 W4 1YQ   | 8U
 WN8 6JS  | 7D
 SL2 3FF  | 6R
 SY15 6NJ | 8W
 PE19 2BD | 9P
 CV22 5PE | 4P
 CH66 1QZ | 9Z
